,purchase_duration,total_purchases_made,Long term Value,Cust_Spend,udid,playing_duration,total_sessions_played,Highest_Level_reached,Game_start_date,gamer_level,install_date,country,hw_ver
0,63,12,682.5,Low,0020f5c05795400bb2868009cf4b2080,84,501,48,6/1/2015,Normal_Gamers,6/1/2015,US,"iPhone7,2"
1,18,2,17.5,Low,002b934415cb4ae78579f3be87a6283d,92,826,42,6/1/2015,Normal_Gamers,6/1/2015,US,"iPhone6,1"
2,1,1,3.5,Low,004f2f923b8f47a6b9f91fa5c61095de,52,242,30,6/3/2015,Pro_Gamers,6/3/2015,DE,"iPhone6,2"
3,1,1,3.5,Low,00776d802fef4a26b525aed437af4728,17,82,13,6/6/2015,Normal_Gamers,6/6/2015,US,"iPhone5,3"
4,1,1,3.5,Low,008808b510244c9b957adbf27dd8c748,11,7,4,6/7/2015,Normal_Gamers,6/7/2015,US,"iPhone5,3"
5,91,160,2600.5,High,00e33b7143594639a53059429507fbea,91,2219,54,6/2/2015,Rookie,6/2/2015,US,"iPad4,1"
6,9,2,7,Low,01005558a67d4f0096a37cffee75413d,82,346,22,6/7/2015,Normal_Gamers,6/7/2015,US,"iPod5,1"
7,4,2,17.5,Low,010f4e8995644148ad526da782947b86,8,56,13,6/5/2015,Normal_Gamers,6/5/2015,US,"iPhone6,1"
8,1,1,3.5,Low,0111ec832a8e45d6b24556665ca750dc,17,16,7,6/5/2015,Normal_Gamers,6/5/2015,US,"iPhone6,1"
9,86,9,273,Low,011ba53fa652426aa1be88e1c5956dab,87,822,43,6/6/2015,Normal_Gamers,6/6/2015,ID,"iPhone6,2"
10,1,3,21,Low,017d725a1ea3410c80380c0d881fbfbc,32,46,12,6/1/2015,Normal_Gamers,6/1/2015,AU,"iPhone7,2"
11,1,1,3.5,Low,01859553eb3d409d92a8bed1f4cfbbeb,21,23,7,6/6/2015,Normal_Gamers,6/6/2015,US,"iPad4,7"
12,1,1,3.5,Low,01c3feecb4a249a18683f9e6c030d6d8,32,104,19,6/7/2015,Normal_Gamers,6/7/2015,TR,"iPhone7,2"
13,1,1,3.5,Low,01cb8c3fccc44a97a44322c415979e0a,15,43,7,6/7/2015,Normal_Gamers,6/7/2015,US,"iPhone7,2"
14,3,2,17.5,Low,01cca0f4c5f643fe84020e891d9be5df,6,55,12,6/2/2015,Normal_Gamers,6/2/2015,US,"iPhone7,2"
15,8,2,7,Low,01ce204f02604c39813863b4ebcdafd5,16,71,11,6/5/2015,Normal_Gamers,6/5/2015,US,"iPhone5,3"
16,1,2,7,Low,01f56464bc2048f28b93e17575fb3b67,4,20,10,6/5/2015,Normal_Gamers,6/5/2015,GB,"iPhone7,1"
17,1,1,14,Low,0201154c07704aed8b30bdb6316166a3,36,238,27,6/7/2015,Pro_Gamers,6/7/2015,DE,"iPad2,7"
18,1,2,17.5,Low,0210b1d0462d40ea80e357ca94d3cd61,80,527,40,6/2/2015,Normal_Gamers,6/2/2015,ID,"iPhone6,2"
