udid,date,daily_iap_rev,purchases_made
44080da2aaa54b95ae96327e3649b651,6/8/2015,3.5,1
6593f2ec3f6848afa1177198a7cf29b6,6/15/2015,14,1
7468b1857ea848b1aa6fece800193e52,7/13/2015,70,1
bf57de635791447eb630a998e8251a4a,8/25/2015,70,1
516a4481f08f4022ae98945281d5c00b,6/6/2015,3.5,1
7057cf3a615f4229af64372251dc7d3c,6/10/2015,3.5,1
c2ef04a8ae1a463a9c2b120ba1352d4a,8/22/2015,14,1
a271bd865ead40d9bc447c2b2e0d0c2c,6/5/2015,14,1
4e29f98c299ed2d716b66c7228513159e1b3bf13,6/19/2015,3.5,1
462fee2943ad445291deeafc410e2b58,6/9/2015,7,1
e91eb2a005d24ad19b5ef845ceedfbcc,6/6/2015,70,1
00e33b7143594639a53059429507fbea,8/3/2015,70,1
0c66088ee4894efbbe1cd13a1afbee3d,6/7/2015,3.5,1
4cb85652a0c440fb87beac056fc31509,6/14/2015,10.5,2
a1be4243733f481291cd53b633e9805a,6/24/2015,14,1
5f53758174ed4985948374ab35aa3bd0,6/9/2015,3.5,1
8700e43820bb4d7ea152b085375debf6,7/9/2015,14,1
d4b43bd5f2b84504ada0c585d0d642bf,6/2/2015,38.5,5
ed9e0710d7d24c0ea0fe2b588c666e07,6/8/2015,3.5,1
b3e6f1d87c5a430daa171e3f300b55f9,6/13/2015,14,1
539934fe6a9d4b13b86d69616094e4ce,6/3/2015,7,2
664d80381ddf4a44aea0a56bd7c97d6c,6/4/2015,7,2
29a8731fccc54825bc525b8ef41ecbd5,7/19/2015,70,1
4445baa0ffcc4c6e9059d910f59895e8,6/3/2015,3.5,1
02eac5b6dce84103aa462bd2f0e4c12a,8/23/2015,70,1
2953534478174e7080f63e690a50d1ef,6/4/2015,3.5,1
3086ae4effc044b084686f7b38e5c286,6/12/2015,3.5,1
0316c75ed2ef45e6abab184795619e30,7/18/2015,35,1
2f4508eaceb74a92b29704fb778146e8,6/30/2015,3.5,1
2d6ca190c27b4df3b154b0a36edfa465,6/8/2015,17.5,2
95e1206da568423b94e17b5a77ad42e7,6/11/2015,7,1
c938f174332c425c9e7bbf2702b4bc4c,6/21/2015,14,1
fdc3a4c7099e4ed6bf95476a97091b46,7/14/2015,3.5,1
9caf850e69844431a7d074bab4cdd633,6/7/2015,3.5,1
026e43be2f8c401bbd6a03d7d361335b,7/26/2015,35,1
a57b6000bc24887ddf363b317653f51779cca94a,8/16/2015,70,1
944b03bd24af49f982a0f40fee96acd0,6/2/2015,17.5,2
d6bc44753a694db98b38766735161dd9,6/6/2015,3.5,1
74efbec8f1f54affb2b6ed5aafd92503,6/26/2015,38.5,4
5c4a9c52bbac440685a9645adc1f610d,7/21/2015,10.5,2
08bf4578bd904fd8ae0b40ea62bd72f1,6/11/2015,3.5,1
3cbf7eac410247d7a1b22ebcd7aaef36,7/3/2015,70,1
a1c37d2a430c4ad482e4cde33776c181,6/7/2015,3.5,1
1be70d019bc248858ddc719c98f63c6f,6/10/2015,3.5,1
18508d5ab2244844b77fd53b96e481f0,7/9/2015,3.5,1
1226344a5de745139866a0d0adaf3e9a,7/8/2015,14,1
8a229704dcce4ca3aeeaa1e3432c78ae,6/22/2015,14,1
b857a4dcbdf841a88a295d83d5ee35c7,6/27/2015,7,1
5ced9fecb58b453caacc54556f7e2fc1,6/29/2015,14,1
9342c26477f54de4aadd9685a17c9727,7/16/2015,7,1
648eac28bbfb451ab9d8254ffba72fec,6/4/2015,45.5,10
4a89126a126b4585b4c9b77881df1563,8/21/2015,3.5,1
be858762b85e46079c6d94df8c4e513e,6/6/2015,3.5,1
44e8fedcf9d846dca6a23f87a09c824a,6/8/2015,10.5,2
c5cdf91853fb4cc6a9b02a1ef7862f90,6/19/2015,3.5,1
cd20baca850e49169353cf8db7a4cf8a,6/10/2015,3.5,1
ea3767cb49da4af9aac6a8c4d7efa428,6/18/2015,70,1
a5c90363a7bd45d19bb5a6796afc461d,6/6/2015,3.5,1
48da653c818645faa78482124760bdb8,6/7/2015,3.5,1
b30997a4e73144578393f8a9cfaf8a9f,6/10/2015,3.5,1
4f52b32c78604cf6bc3fa2c52f5448c5,6/30/2015,45.5,5
4f52b32c78604cf6bc3fa2c52f5448c5,8/12/2015,3.5,1
429228165a6c4b97b484a5b463ef84ea,6/10/2015,3.5,1
1fe98743971047c699857f664b5df39c,6/2/2015,17.5,2
510ae87eb5a04357b386c18df3b83b05,6/15/2015,14,1
eb0d666878be4e2ab27e82f27f6562be,8/17/2015,140,2
5c680168bc7e40afbd2244f8606536b6,6/3/2015,3.5,1
97d42567bf5241a99fefc2a112384929,6/10/2015,3.5,1
5394fee47189462087eb04e9edb71f32,8/20/2015,3.5,1
b817fc4f889745f4acb42b0630cee490,6/7/2015,3.5,1
7468b1857ea848b1aa6fece800193e52,7/15/2015,70,1
7468b1857ea848b1aa6fece800193e52,8/29/2015,70,1
82848971a9d846028cd471ddb9778700,6/3/2015,24.5,3
c2ef04a8ae1a463a9c2b120ba1352d4a,6/20/2015,17.5,2
8b7c8a254c484612862e579727238bdb,7/12/2015,70,1
8b7c8a254c484612862e579727238bdb,8/28/2015,140,2
43bd8b26d93a4e819168cba61fe348c6,6/2/2015,3.5,1
226bbb5977424398b5a2f50a8c28ae41,6/5/2015,14,1
cbe133637d254654900fa9e1cc80580e,6/5/2015,3.5,1
ad2c2dde7bb6be1a27d3114f482ad16928326bee,6/7/2015,14,1
90c7be78825346559ad270579a8bd6fe,6/21/2015,70,1
287374f44cbb4369bf1e9488d244d594,6/27/2015,3.5,1
F41DD463A9BD4FB3AD99F684943053A4,7/4/2015,3.5,1
4664afe012b44a03be1e1886a290570e,6/4/2015,21,2
e91eb2a005d24ad19b5ef845ceedfbcc,6/7/2015,105,2
8121714766904a58ad016f948c3e3a01,6/7/2015,3.5,1
0bdd44971fe9475bb938e38076082303,6/11/2015,3.5,1
00e33b7143594639a53059429507fbea,8/6/2015,7,1
96e5128660ab44cd9b1a52346d367eb6,8/17/2015,77,4
a1be4243733f481291cd53b633e9805a,6/7/2015,3.5,1
a3902254609540cf82b729cb8c45f877,6/18/2015,3.5,1
0c66088ee4894efbbe1cd13a1afbee3d,6/18/2015,3.5,1
8905fe08b13142a48883c84f8469fa67,7/5/2015,14,1
386f14cd615f4062aa9790b3c7f6a0b6,7/6/2015,77,2
8905fe08b13142a48883c84f8469fa67,8/11/2015,70,1
a2254e002ae748509aef78fddd6318a0,8/27/2015,70,1
f646c57ff10b4ce4a50cbda141de6269,6/9/2015,14,1
d8885b895ade4824a70968029ccbb5c6,6/10/2015,3.5,1
57db57e90b6a47e0a98a77d783007ff7,6/30/2015,14,1
46b1a1313ce44896b6d96e76a8778b9b,6/16/2015,14,1
b3cbc32fb25e432bb93b7122b1b46758,6/5/2015,3.5,1
8dee242ed0e940318bd8c4860a351c01,6/8/2015,14,1
bc8fde6a61a14980af1ca6580bc17666,6/28/2015,70,1
4f559f4ce9184a80a3f5495115b026d1,7/17/2015,7,1
f2048d300dad41d6ab969f6fab438c9d,6/11/2015,3.5,1
d111af9cfb284676a0ab6f4f25fab5bb,6/8/2015,3.5,1
1463a21b97b34a22ac824ae0194b57b0,6/6/2015,3.5,1
e38d303ec6d240d1929c059699920c3b,8/29/2015,3.5,1
99bb86227df54ce3ab0146ea98a9ff94,6/7/2015,3.5,1
2b1d6d010a304e8790adc13e5e0888e3,6/12/2015,3.5,1
2b1d6d010a304e8790adc13e5e0888e3,7/27/2015,70,1
055ff594b8164a5c9d127ed3fb0a4749,8/24/2015,3.5,1
d0e32931ec964e02bee970ba6066892a,8/23/2015,14,1
7a5e83410bad4d3a8bd82c0675a4b8ed,6/7/2015,14,1
d9455cda960a48bc9a6743c6b80dccde,8/3/2015,3.5,1
c219b46647ec47a3a742de4c7cc9b2c3,6/7/2015,17.5,2
18e29f98d2ef4d58bb8bcbd48d77b1ea,7/15/2015,210,3
eecf30b2eb404f138faf7c1be0330fac,6/9/2015,3.5,1
26c2c735baa24f15918ad520aaa82653,7/17/2015,14,1
74efbec8f1f54affb2b6ed5aafd92503,8/2/2015,70,1
2a25fddcfd0c45199e31fb6ea380829a,6/11/2015,14,1
311706496249451d82588f80e7c60347,6/2/2015,70,1
dcfdb89db56145d5bf472661e8af84df,7/10/2015,70,1
b9899e1dd282477ba2fc27ce5973784a,6/7/2015,3.5,1
360030bae2384d1a9a7cdc1b84868e8a,7/11/2015,3.5,1
4fc36b02fbb04228ae745dcb620ad6b5,6/18/2015,7,1
922eca43ec634e71b5e79a1ddc97d0a5,8/13/2015,3.5,1
34dfef2124cf475e909ae38510877a87,6/2/2015,24.5,4
b857a4dcbdf841a88a295d83d5ee35c7,6/20/2015,14,1
95effb9ea2a74ec581d4013d07874e96,7/1/2015,35,1
5ced9fecb58b453caacc54556f7e2fc1,8/9/2015,70,1
5bc378d6dcf5448ca5e87ae09eeb5339,6/7/2015,7,2
0c7089455af54607a8156cd52b6ad021,6/1/2015,3.5,1
CE9D934922E246429FFC600BECEFEA4A,6/4/2015,3.5,1
730f9d21f6834cb8b976dcdca26d7f72,6/29/2015,3.5,1
8231d3646e7b4bb1a2282c2e0a04cd81,8/2/2015,70,1
eeda571997644bdba73aaa12f880959e,6/3/2015,3.5,1
5d394b82c907470cb1f5314e142b560e,7/13/2015,10.5,2
f4bcb77a93e243a29e89b0649be21937,8/17/2015,70,1
5d8ca7bcae5e4f0288fabd503921503d,8/28/2015,14,1
1c42590557b948b3b9c56e83a7597613,6/3/2015,17.5,2
30bd8c7a09fd44edb4fec177039870a6,6/4/2015,70,1
eb0d666878be4e2ab27e82f27f6562be,6/6/2015,70,1
9807e795ae6f44249fa0fb823915e9ba,6/8/2015,14,2
9d0af3cb0fb646cdbd6f8c1543988f44,6/12/2015,17.5,2
6e67a1c23be749e4a041c2a77bdaa048,8/5/2015,14,1
25137154ac704effbdc8701bbdf63d2d,6/26/2015,35,1
