udid,install_date,country,hw_ver
43109861225c4a6e7f8ddcf5cd7d830a46c1bc12,6/1/2015,VN,"iPad3,6"
896b5b37b0584e1ba29fb9c8a07f1a96,6/1/2015,CH,"iPad2,4"
85553c0a639348c89601cdd375502f16,6/1/2015,US,"iPhone3,1"
5385ff94fd2447dea653e16e76da3bfb,6/1/2015,SE,"iPad4,1"
10d3472f14af4102b09e16d5ca605533,6/1/2015,AU,"iPhone7,1"
d2132a4ce3384585bda0265818bef03f,6/1/2015,AU,"iPhone7,2"
fb98faf78f804315b1bed83349988a20,6/1/2015,US,"iPhone6,2"
93927781582c4f7e96f167315918a2b5,6/1/2015,US,"iPad3,4"
2197f7f4d18f4c7a9b6c687ce7a035bd,6/1/2015,DE,"iPad4,2"
ea7e77cae11d4601ae056f21d6b86c51,6/1/2015,GB,"iPhone7,1"
1bab9ea754ed436bb9208ed359c657a1,6/1/2015,DK,"iPhone5,2"
eb05d53fe05a4ae094ee032ab20b4b1c,6/1/2015,SG,"iPad5,4"
b3d9b5829f3e48e883c2240026adacf7,6/1/2015,GB,"iPhone7,2"
b4f98a45c6f64094a50dbb978df0d80a,6/1/2015,US,"iPad4,4"
6806cc85b49f1971c8c2d05d67e4d355c695483f,6/1/2015,AU,"iPad3,3"
987e648c0d4644888b3f52ba2fd401fc,6/1/2015,IE,"iPad4,7"
71876a99888e47da830c61a3f98ebd94,6/1/2015,US,"iPhone6,1"
6d45729c8d8045ccb18aa4ffd244f290,6/1/2015,GB,"iPhone7,1"
55dacc7aa40f43e88a21c500bb6046ec,6/1/2015,GB,"iPhone6,2"
82e0d7d15403478fb80647a1ac1ae0fe,6/1/2015,US,"iPad3,4"
9faf524b8b1a4125a8f3fe5c68cf8282,6/1/2015,US,"iPad2,5"
6a8df074c1924af2a93495a86cac053f,6/1/2015,US,"iPhone6,1"
c3ef2a4f72754db296fece45a32f6733,6/1/2015,DE,"iPad3,6"
a8bfbaea7ff94538a20097dc6e1843a2,6/1/2015,SG,"iPhone7,1"
6356f5331e22424c92feb82b122788c7,6/1/2015,DK,"iPhone7,1"
fca8418da7924e68bf4e8632343834ba,6/1/2015,US,"iPhone5,3"
aa1d9e281c6c4376ba630a618d3a630d,6/1/2015,RO,"iPad3,1"
15c0915806af4476abc9eb827b55fcd4,6/1/2015,US,"iPhone7,1"
885fd8cc4de34f7fbd48d9d314d57a77,6/1/2015,HU,"iPhone6,2"
1041676576104aed870efc0c4e70db53,6/1/2015,PL,"iPhone7,2"
2f094e680b014aea90d91e7a1354b3bb,6/1/2015,US,"iPhone7,2"
844037080544459babd38309676ef825,6/1/2015,US,"iPhone7,2"
f93e73b0cf8546ac97c73a9f1c8fceb9,6/1/2015,US,"iPhone7,2"
13dd4a6910cc4579be9a9e887d6a7eb4,6/1/2015,DK,"iPad4,4"
abbcbb233dd7423d9199aaa5b1efa7d1,6/1/2015,ZA,"iPhone7,2"
24feed8f670456c0630f55d22679f9cfecf7ed5d,6/1/2015,US,"iPad2,5"
b96190430ced4879bbbc3cfd2a29d5fa,6/1/2015,GB,"iPhone6,2"
3098143a51474bc9b2f43a9c9321dd93,6/1/2015,CH,"iPad2,4"
254b844d378c482e8b737a22eb73b2e0,6/1/2015,DE,"iPhone6,2"
74deaab92c414de4b56481b73b44fc96,6/1/2015,US,"iPad2,5"
e3db60dba55a4488a2a654ac4f49fcd1,6/1/2015,SG,"iPhone6,2"
e6485067ef714446870a5ab8afc65399,6/1/2015,GB,"iPhone4,1"
2dcf45f93ae445d9bb4e118af380f287,6/1/2015,US,"iPad2,4"
82b1324a8ecc431d9edba04a5b3735a1,6/1/2015,PL,"iPhone6,2"
dd9e23be8adf41ba875ce6e04fc5fe5d,6/1/2015,US,"iPhone4,1"
cfe0aec24add4d3db955ac8b4b960606,6/1/2015,US,"iPad4,2"
f3a0da0c730d44f7beaa0c1d6579fd08,6/1/2015,US,"iPhone6,1"
ba2715c139614534b64b6df94ee7decb,6/1/2015,US,"iPhone6,1"
7f22b48f5ee7442d81deae5a2ccce9bb,6/1/2015,US,"iPhone7,1"
866f59d2e20fb54a14fc3eba9014be99018b8e54,6/1/2015,US,"iPad2,1"
699a63e6bd4c46e38623d8197aeb26c3,6/1/2015,CA,"iPad4,7"
0eb43732773f47b0a272d9d6f989a5b5,6/1/2015,SG,"iPad2,5"
675b135257fd4b74a49265543a6fcbb6,6/1/2015,DE,"iPhone3,1"
dbc5dc3d255f4613b2ba59a0d6464634,6/1/2015,US,"iPhone5,1"
4e757f562ae54a329c2e6893de75e4d7,6/1/2015,US,"iPhone7,2"
5c0dbbc6459342bcb0b7a8b07b75b38a,6/1/2015,AL,"iPad3,4"
47a9ab4da4184bb1bfb7bcd52740e912,6/1/2015,GB,"iPad4,2"
22f2a8c276eb44ed829a33c94145d30e,6/1/2015,US,"iPhone6,1"
00f13999bdbf4478ae8efa8c9625aa0b,6/1/2015,GB,"iPad4,1"
CD021AB1694C49EB92A40715D8256334,6/1/2015,US,"iPhone6,1"
c1e29930e5074bf6ba92242468605012,6/1/2015,US,"iPhone7,2"
161d51aa0e7343f795d7ff8edf2b3974,6/1/2015,DK,"iPhone7,2"
20490dca8bcc44c6ba4bc74552b9de3b,6/1/2015,US,"iPhone7,2"
9208a37d7fb143f3bce6def8ad2c15d0,6/1/2015,PR,"iPad2,5"
7ec895a2b28b45aabf15cd43a243394b,6/1/2015,US,"iPhone6,1"
26fc7ba688624147a97154e3588f151c,6/1/2015,US,"iPhone5,1"
ee636ee16f204283b514462313d1d8bf,6/1/2015,US,"iPhone6,1"
ee37b0b059ff4531ae9cf1511cab585d,6/1/2015,CZ,"iPad4,1"
47118593c1cb493c95426b21b5aa6afb,6/1/2015,US,"iPhone7,2"
330360f2ca6043f49835d3aa0b37fa57,6/1/2015,FR,"iPhone5,4"
1418dd328464428699a6dbeeb09f71d3,6/1/2015,GB,"iPhone7,2"
9b4f2649caa34fde82793e2b21261374,6/1/2015,CZ,"iPhone4,1"
a647ec40e942439eaa4212b5213b4bcf,6/1/2015,GR,"iPad2,1"
6cb0bc99deee6057d606daf639b4639214548c21,6/1/2015,US,"iPod4,1"
ee9d6fc37cd54d5fa3ecba0226d67e8f,6/1/2015,US,"iPhone6,1"
202ed7d9e73e43b39e3097987b746a62,6/1/2015,FR,"iPhone6,2"
016a097e145e4834a3026cb721a564eb,6/1/2015,FR,"iPad5,3"
4baa799bc61d463ca774eb51336b2470,6/1/2015,BE,"iPhone5,2"
544867ac013a46939b574130cbf48bd8,6/1/2015,SA,"iPhone6,2"
fc9dd3a8d3c1486ca2e9cc2390bb937b,6/1/2015,US,"iPhone7,2"
176b43c3133c4a2d95c8e3258f6700e9,6/1/2015,US,"iPhone4,1"
562e607f31f14433bff25e7fe63eab02,6/1/2015,DE,"iPhone7,2"
3a73cc7ff92a4eb2a5eec8bddc9afae7,6/1/2015,AU,"iPad2,5"
e2a93572b63f4a0ab62c7371e0205575,6/1/2015,US,"iPad4,1"
027dc04d5d4d4d45b1ee505ee4196e66,6/1/2015,US,"iPad3,4"
FFFFFFFFEE955964ADD846A9A357FE51EF6DB3D7,6/1/2015,US,"iPod5,1"
c4d1e8bbf5134fc994225898f019cf43,6/1/2015,DE,"iPhone7,2"
eedf9645762a41dd80b99c9f8ee8257f,6/1/2015,US,"iPad2,5"
e4766d04077742df8ca02b6f0d73223a,6/1/2015,CA,"iPad4,4"
d9455cda960a48bc9a6743c6b80dccde,6/1/2015,US,"iPhone7,2"
114a31add5ab4c219bbb46e234224e52,6/1/2015,GB,"iPad2,4"
c9f66717dc0888e852bf798fe682cf7eb967211d,6/1/2015,US,"iPad3,1"
ebc115a3e4e94541899bc6d4cbd1721b,6/1/2015,US,"iPad3,4"
0bb87cc4860b464a939c9798abd4eeea,6/1/2015,US,"iPad4,4"
247608bb554a4fcf949d5d18857822cd,6/1/2015,US,"iPad3,4"
5554b627b4914b9f90e468a8cfcc4e49,6/1/2015,US,"iPad2,1"
2d943b37f9294bf58aae40c5c92e507b,6/1/2015,US,"iPad3,6"
24c4d8f39e074a8fb5e8699a5ac7722b,6/1/2015,US,"iPhone7,2"
b76f82b52e3941189fed06bc89233a18,6/1/2015,US,"iPad3,4"
a31ede31051d4b9aba86b2d966552075,6/1/2015,AL,"iPhone5,4"
6326b7bd90df4b10b839c10954ea2ddb,6/1/2015,US,"iPhone4,1"
9eb26c19c48c4385adddac0b1ac99216,6/1/2015,US,"iPhone7,2"
6f92065a51c5415883cf99ede3b4a7ba,6/1/2015,US,"iPad4,5"
14b2a7c51ed146ca9369c3097dad4178,6/1/2015,CA,"iPad2,4"
0a97da99065545f1b3eff1c76e1e28f8,6/1/2015,FR,"iPhone7,2"
f277277c1e344747b61d1a6027135d43,6/1/2015,DE,"iPhone4,1"
cce4245008bb6c470d5dbe6387387cdccbfaf428,6/1/2015,US,"iPhone6,1"
a2612e56d58646859d08780f3c4d2e92,6/1/2015,AU,"iPhone7,2"
7397c0b653524e4794910edbe6e8903d,6/1/2015,US,"iPhone5,3"
f4e13257697e9706eff7667adfa06955a9806df3,6/1/2015,US,"iPad3,2"
ea46740798fe40d781157fa5745c293a,6/1/2015,US,"iPhone7,2"
a766afcfa8a948dc9c05c9aae496f1a4,6/1/2015,GR,"iPhone7,2"
888fe4634200422fa189a0008cfae646,6/1/2015,US,"iPhone6,1"
4bf33956196f4d508be6dc30f122fd23,6/1/2015,CA,"iPod5,1"
506b0aa0ebc440069f54c5856ec725d7,6/1/2015,DE,"iPhone6,2"
b50a58750c354a859576e771e1cbe91d,6/1/2015,US,"iPad3,5"
2757527216044f3f99bd39b4730cb677,6/1/2015,US,"iPhone7,1"
786d094b653690bc1f262780eb94382ba7934d2a,6/1/2015,US,"iPod4,1"
5997731626654bd0af55fef2c3f42699,6/1/2015,US,"iPad4,2"
ad64d8e8cbf248969c0c1bc6f772b109,6/1/2015,US,"iPhone5,2"
b0c24f3e241347949ba2327ea77b2016,6/1/2015,US,"iPad2,4"
0c614d9162da43c9a3c9ec2bc074af03,6/1/2015,US,"iPhone7,2"
b5717e2bca6e43578b91d26f139e5ef9,6/1/2015,US,"iPhone6,1"
3709eececd2e462ea23069e00be5962b,6/1/2015,CA,"iPhone7,1"
90c749bf627546d089fb80cadd98b007,6/1/2015,US,"iPhone5,1"
167d985fe0ed4f1a94fdef8eade96125,6/1/2015,SG,"iPad3,6"
5EDD35831BC64C87A0BC9231B25FA670,6/1/2015,US,"iPod5,1"
2f78599d3b3b4140801ffbd6a1cb0d36,6/1/2015,US,"iPad4,1"
f9e32435f815405182924358061c460f,6/1/2015,US,"iPhone7,2"
8029871626f94174910b453fdf530cfe,6/1/2015,JP,"iPhone7,1"
98d45f3e337847e5840640738916cb3e,6/1/2015,GB,"iPad2,4"
9bf7f64728ea4ebba6df4ae6b99ac002,6/1/2015,BR,"iPhone3,2"
3e6f2e7eb60f4e4a950e96475c8e9c10,6/1/2015,US,"iPhone7,1"
ac183fa8f14146fbb5cd9335b2b08bcf,6/1/2015,US,"iPhone6,1"
d85aff03b08744deaddf2fed5bf5dacb,6/1/2015,AU,"iPhone6,2"
56f30bf579ea42afbad5e965c6c7ead3,6/1/2015,TR,"iPhone6,2"
48e623fc546b4ab0969cc5dba6a797c9,6/1/2015,MY,"iPhone7,1"
7300bbfbb2674cf096dbe0960ece5a23,6/1/2015,HU,"iPhone7,2"
1e70e9041e7844efa2066c5394436bf8,6/1/2015,AU,"iPhone7,1"
b46c0e82d39442d5aeb78ad85ffdd179,6/1/2015,LA,"iPhone7,1"
901f76e0fa0499e11e26925bf796b7bb6f0c5e0e,6/1/2015,US,"iPad2,4"
b663c05fc2f6c127ecafdd78fc3746ae00d65e29,6/1/2015,ID,"iPad3,6"
1e826f183651423685737b4dbbfb3d41,6/1/2015,US,"iPhone6,1"
987b8ffb6196440b95fc6cf55d276225,6/1/2015,US,"iPhone6,1"
c3df5b0ff0654f1c971d0d12fd2bf204,6/1/2015,SI,"iPhone6,2"
2c5049084494480a8f3be2ea09bb5fe3,6/1/2015,PL,"iPad2,5"
506fc30006b54b659531b5f91ff10735,6/1/2015,US,"iPhone7,1"
c8b45c4ac4bb4e6393000f0c6a89e640,6/1/2015,TR,"iPhone6,2"
CDE0E0A9064B4A5BB30C792ECE17E224,6/1/2015,US,"iPad4,4"
382c75fc3a011f0d3d4c16566e0aea5b4bf1bd21,6/1/2015,US,"iPod5,1"
