udid,udid,firstdate_of_purchase,lastdate_of_purchase,purchase_duration,total_purchases_made,Long term Value
0020f5c05795400bb2868009cf4b2080,0020f5c05795400bb2868009cf4b2080,2015-06-01,2015-08-02,62 days 00:00:00.000000000,12,682.5
002b934415cb4ae78579f3be87a6283d,002b934415cb4ae78579f3be87a6283d,2015-06-06,2015-06-23,17 days 00:00:00.000000000,2,17.5
004f2f923b8f47a6b9f91fa5c61095de,004f2f923b8f47a6b9f91fa5c61095de,2015-06-10,2015-06-10,0 days 00:00:00.000000000,1,3.5
00776d802fef4a26b525aed437af4728,00776d802fef4a26b525aed437af4728,2015-06-06,2015-06-06,0 days 00:00:00.000000000,1,3.5
008808b510244c9b957adbf27dd8c748,008808b510244c9b957adbf27dd8c748,2015-06-07,2015-06-07,0 days 00:00:00.000000000,1,3.5
00e33b7143594639a53059429507fbea,00e33b7143594639a53059429507fbea,2015-06-02,2015-08-31,90 days 00:00:00.000000000,160,2600.5
01005558a67d4f0096a37cffee75413d,01005558a67d4f0096a37cffee75413d,2015-07-23,2015-07-31,8 days 00:00:00.000000000,2,7.0
010f4e8995644148ad526da782947b86,010f4e8995644148ad526da782947b86,2015-06-07,2015-06-10,3 days 00:00:00.000000000,2,17.5
0111ec832a8e45d6b24556665ca750dc,0111ec832a8e45d6b24556665ca750dc,2015-06-15,2015-06-15,0 days 00:00:00.000000000,1,3.5
011ba53fa652426aa1be88e1c5956dab,011ba53fa652426aa1be88e1c5956dab,2015-06-07,2015-08-31,85 days 00:00:00.000000000,9,273.0
017d725a1ea3410c80380c0d881fbfbc,017d725a1ea3410c80380c0d881fbfbc,2015-06-02,2015-06-02,0 days 00:00:00.000000000,3,21.0
01859553eb3d409d92a8bed1f4cfbbeb,01859553eb3d409d92a8bed1f4cfbbeb,2015-06-06,2015-06-06,0 days 00:00:00.000000000,1,3.5
01c3feecb4a249a18683f9e6c030d6d8,01c3feecb4a249a18683f9e6c030d6d8,2015-06-07,2015-06-07,0 days 00:00:00.000000000,1,3.5
01cb8c3fccc44a97a44322c415979e0a,01cb8c3fccc44a97a44322c415979e0a,2015-06-10,2015-06-10,0 days 00:00:00.000000000,1,3.5
01cca0f4c5f643fe84020e891d9be5df,01cca0f4c5f643fe84020e891d9be5df,2015-06-02,2015-06-04,2 days 00:00:00.000000000,2,17.5
01ce204f02604c39813863b4ebcdafd5,01ce204f02604c39813863b4ebcdafd5,2015-06-05,2015-06-12,7 days 00:00:00.000000000,2,7.0
01f56464bc2048f28b93e17575fb3b67,01f56464bc2048f28b93e17575fb3b67,2015-06-06,2015-06-06,0 days 00:00:00.000000000,2,7.0
0201154c07704aed8b30bdb6316166a3,0201154c07704aed8b30bdb6316166a3,2015-06-12,2015-06-12,0 days 00:00:00.000000000,1,14.0
0210b1d0462d40ea80e357ca94d3cd61,0210b1d0462d40ea80e357ca94d3cd61,2015-06-24,2015-06-24,0 days 00:00:00.000000000,2,17.5
024e698c19b84983986920324d2b80b2,024e698c19b84983986920324d2b80b2,2015-06-05,2015-08-28,84 days 00:00:00.000000000,13,101.5
02569bf0ff4a487b937e983bf5968711,02569bf0ff4a487b937e983bf5968711,2015-06-30,2015-07-20,20 days 00:00:00.000000000,2,17.5
025b20ad226543c3bc056c591099bee6,025b20ad226543c3bc056c591099bee6,2015-06-04,2015-06-04,0 days 00:00:00.000000000,2,7.0
026e43be2f8c401bbd6a03d7d361335b,026e43be2f8c401bbd6a03d7d361335b,2015-06-14,2015-07-26,42 days 00:00:00.000000000,5,80.5
02eac5b6dce84103aa462bd2f0e4c12a,02eac5b6dce84103aa462bd2f0e4c12a,2015-06-07,2015-08-23,77 days 00:00:00.000000000,6,262.5
02f28790292e45098abc415c0e12a602,02f28790292e45098abc415c0e12a602,2015-06-21,2015-06-21,0 days 00:00:00.000000000,1,3.5
0316c75ed2ef45e6abab184795619e30,0316c75ed2ef45e6abab184795619e30,2015-06-08,2015-07-18,40 days 00:00:00.000000000,4,59.5
0317fc6c434c46f29c12d516beaed811,0317fc6c434c46f29c12d516beaed811,2015-07-09,2015-07-09,0 days 00:00:00.000000000,1,3.5
031c4c8b5a82450489b8b437588d2481,031c4c8b5a82450489b8b437588d2481,2015-06-13,2015-06-13,0 days 00:00:00.000000000,1,3.5
03463bd611ba4035a6353c572858a1b2,03463bd611ba4035a6353c572858a1b2,2015-06-04,2015-06-13,9 days 00:00:00.000000000,3,10.5
037886f740ec4ef1a9ae5a8513b465af,037886f740ec4ef1a9ae5a8513b465af,2015-06-25,2015-07-05,10 days 00:00:00.000000000,2,10.5
038f9c99a5994602b851a6b5b23edbff,038f9c99a5994602b851a6b5b23edbff,2015-06-07,2015-06-07,0 days 00:00:00.000000000,2,17.5
039dcf19ed524247ae5f4f3b097e607a,039dcf19ed524247ae5f4f3b097e607a,2015-06-06,2015-06-06,0 days 00:00:00.000000000,3,21.0
